"CATEGORY","BIBTEXKEY","ADDRESS","ANNOTE","AUTHOR","BOOKTITLE","CHAPTER","CROSSREF","EDITION","EDITOR","HOWPUBLISHED","INSTITUTION","JOURNAL","KEY","MONTH","NOTE","NUMBER","ORGANIZATION","PAGES","PUBLISHER","SCHOOL","SERIES","TITLE","TYPE","VOLUME","YEAR","KEYWORDS","URL","URLDATE","SOURCEID","ISBN","LANGUAGE","ABSTRACT","ISSN","SHORTTITLE","COLLABORATOR","COPYRIGHT","DOI","CFN","CLASS_LOC","DELIVERED","DOCUMENT_TYPE","FN","HHTYPE","INLG","LGCODE","MACRO_AREA","MPI_EVA_LIBRARY_SHELF","OCLC","SRC","SUBJECT_HEADINGS","LOCATION","GLOTTO","EXTRA_HASH","ASJP_NAME","AIATSIS_CALLNUMBER","AIATSIS_CODE","AIATSIS_REFERENCE_LANGUAGE","LANGUAGEID","MPIFN","OZBIB_ID","OZBIBREFTYPE","PUBLICATION","COUNTRY","SIL_ID","SUBJECT","OTHER_EDITIONS","FNNOTE","VARIETY","BESTTXT","LCCN","FILENAMES","ISO_CODE","OLAC_FIELD","REFDB_ID","WALS_CODE","AUTHOR_STATEMENT","NUMBEROFPAGES","OZBIBNOTE","LANGNOTE","LGFAMILY","ZURICHCODE","ZURICHNOTE","GULDEMANN_LOCATION","THESISTYPE","NOSHAREFN","PLACE","ABSTRACTNOTE","COLLECTION","DISPLAY"
"ARTICLE","zagoskin_wordlists_nodate",NA,NA,"Zagoskin, Laurence",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,"31",NA,NA,NA,"Word-{Lists} of the {Athabaskan}, {Yup}'ik and {Alutiiq} {Languages",NA,NA,NA,"AET4, ETC, dege1248, kinbank",NA,NA,"AET4",NA,"en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zagoskin n.d."
"MISC","south_slave_divisional_education_council_dene_2009",NA,NA,"Council, South Slave Divisional Education",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dene {Yatié} {K}’çç {Ahsíi} {Yats}’uuzi {Gha} {Edîhtå}’éh {Kátå}’odehche",NA,NA,"2009","AET9, ETC, kinbank, sout2959",NA,NA,"AET9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Council 2009"
"BOOK","kaulback_dene_2012",NA,NA,"Kaulback, Brent",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,"OCLC: 972679268",NA,NA,NA,NA,NA,NA,"Dëné dédłiné yatié: 7erehtł'íscho : denínu kuę́ yatié = {Chipewyan} dictionary",NA,NA,"2012","AET7, IC, chip1261, kinbank",NA,NA,"AET7","978-0-9878616-0-3","en",NA,NA,"Dëné dédłiné yatié",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kaulback 2012"
"BOOK","terrill_dharumbal_2002","Canberra",NA,"Terrill, Angela",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,"OCLC: 249172812","525",NA,NA,"Pacific Linguistics, Research School of Pacific and Asian Studies, Australian National Univ",NA,"Pacific linguistics","Dharumbal: the language of {Rockhampton}, {Australia",NA,NA,"2002","CS, PN26, dhar1248, kinbank",NA,NA,"PN26","978-0-85883-462-0","eng",NA,NA,"Dharumbal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Terrill 2002"
"INCOLLECTION","dixon_djapu_1983",NA,NA,"Dixon, R. M. W.","Handbook of {Australian} {Languages",NA,NA,NA,"Blake, Barry J; Dixon, R. M. W.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Australian National University Press",NA,NA,"Djapu, a {Yolngu} dialect",NA,"3","1983","CS, PN17, dhuw1249, kinbank",NA,NA,"PN17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dixon 1983"
"BOOK","heath_dhuwal_1980",NA,NA,"Heath, Jeffrey",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"University of Sydney",NA,NA,"Dhuwal ({Arnhem} {Land}) texts on kinship and other subjects with grammatical sketch and dictionary",NA,NA,"1980","CS, PN22, dhuw1249, kinbank",NA,NA,"PN22",NA,"English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Heath 1980"
"BOOK","mwalonya_mgombato_2006",NA,NA,"Mwalonya, Joseph; Nicolle, Alison; Nicolle, Steve; Zimbu, Juma",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mgombato: {Digo}-{English}-{Swahili} dictionary",NA,NA,"2006","AC80, LH, digo1243, kinbank",NA,NA,"AC80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mwalonya et al. 2006"
"PHDTHESIS","ceyssens_pouvoir_1984",NA,NA,"Ceyssens, Joseph Henri Cecil",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[Sl: sn]",NA,"Pouvoir et parenté chez les {Kongo}-{Dinga} du {Zaire",NA,NA,"1984","AC45, LH, ding1239, kinbank",NA,NA,"AC45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceyssens 1984"
"BOOK","mertens_dictionnaire_1939",NA,NA,"Mertens, Joseph",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dictionnaire {Idzing} - {Francais}, suivi d'un aide-mémoire {Francais} - {Idzing",NA,NA,"1939","AC44, LH, ding1239, kinbank",NA,NA,"AC44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mertens 1939"
"BOOK","muluwa_lexique_2015",NA,NA,"Muluwa, J.K.; Bosteon, Koen",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lexique comparé des langues bantu du {Kwilu} ({RD} {Congo}).",NA,NA,"2015","AC59, LH, ding1239, kinbank, mbal1257, mpuo1241, phen1239, song1299, suku1259",NA,NA,"AC59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Muluwa & Bosteon 2015"
"BOOK","austin_grammar_1981",NA,NA,"Austin, Peter",NA,NA,NA,NA,"NA",NA,NA,NA,NA,"June","Google-Books-ID: Xb\\_ytgAACAAJ",NA,NA,NA,"Cambridge University Press",NA,NA,"A {Grammar} of {Diyari}, {South} {Australia",NA,NA,"1981","CS, PN13, dier1241, kinbank",NA,NA,"PN13","978-0-521-22849-7","en","Revised version of Ph.D. Thesis; A grammar of the Diyari language of north-east South Australia, q.v. for annotation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Austin 1981"
"BOOK","saxon_tlicho_1996","Rae-Edzo, NWT",NA,"Saxon, Leslie Adele; Siemens, Mary; {Dogrib Divisional Board of Education",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,"OCLC: 48982522",NA,NA,NA,"Dogrib Divisional Board of Education",NA,NA,"Tłįchǫ yatiì {Enįhtł}'è = a {Dogrib} dictionary.",NA,NA,"1996","AET6, ETC, dogr1252, kinbank",NA,NA,"AET6","978-1-896790-00-8","en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Saxon et al. 1996"
"INCOLLECTION","ardener_coastal_nodate",NA,NA,"Ardener, E. W.",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,"54, 55, 56, 57, 60, 61",NA,NA,NA,"Coastal {Bantu} of the {Cameroons} ({The} {Kpe}-{Mboko}, {Duala}-{Limba} and {Tanga}-{Yasa} {Groups} of the {British} and {French} {Trusteeship} {Territories} of the {Cameroons}).",NA,NA,NA,"AC27, LH, dual1243, kinbank, mopk1239",NA,NA,"AC27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ardener n.d."
"BOOK","helmlinger_dictionnaire_1972",NA,NA,"Helmlinger, Paul",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Klincksieck",NA,NA,"Dictionnaire duala-français: suivi d'un lexique français-duala",NA,"9","1972","AC22, LH, dual1243, kinbank",NA,NA,"AC22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Helmlinger 1972"
"BOOK","mayer_histoire_2002",NA,NA,"Mayer, Raymond",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,"Google-Books-ID: TtieAAAAIAAJ",NA,NA,NA,"Editions du LUTO",NA,NA,"Histoire de la famille gabonaise",NA,NA,"2002","AC7, CS, kinbank",NA,NA,"AC7","978-2-912603-08-1","fr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mayer 2002"
"MISC","anouk_dutch_nodate",NA,NA,"Anouk",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dutch (dutc1256) kinship terms from a speaker",NA,NA,NA,"IE73, JC, dutc1256, kinbank",NA,NA,"IE73",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anouk n.d."
"BOOK","dixon_edible_2015","Oxford, New York",NA,"Dixon, R. M. W.",NA,NA,NA,NA,"NA",NA,NA,NA,NA,"May",NA,NA,NA,NA,"Oxford University Press",NA,NA,"Edible {Gender}, {Mother}-in-{Law} {Style}, and {Other} {Grammatical} {Wonders}: {Studies} in {Dyirbal}, {Yidiñ}, and {Warrgamay",NA,NA,"2015","CS, PN11, dyir1250, kinbank",NA,NA,"PN11","978-0-19-870290-0",NA,"This book builds on R. M. W. Dixon's most influential work on the indigenous languages of Australia over the past forty years, from his trailblazing grammar of Dyirbal published in 1972 to later grammars of Yidiñ (1971) and Warrgamay (1981). Edible Gender, Mother-in-Law Style, and Other Grammatical Wonders includes further studies on these languages, and the interrelations between them. Following an account of the anthropological and linguistic background, part I provides a thorough examination of, and comparison between, the gender system in Dyirbal (one of whose members refers to 'edible vegetables') and the set of nominal classifiers in Yidiñ. The chapters in part II describe Dyirbal's unusual kinship system and the 'mother-in-law' language style, and examines the origins of 'mother-in-law' vocabulary in Dyirbal and in Yidiñ. There are four grammatical studies in part III, dealing with syntactic orientation, serial verb constructions, complementation strategies, and grammatical reanalysis. Part IV covers grammatical and lexical variation across the dialects of Dyirbal, compensatory phonological changes, and a study of language contact across the Cairns rainforest region. The two final chapters, in Part V, recount the sad stories of how the Yidiñ and Dyirbal languages slowly slipped into oblivion.",NA,"Edible {Gender}, {Mother}-in-{Law} {Style}, and {Other} {Grammatical} {Wonders",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dixon 2015"
"ARTICLE","campbell_sahtuotine_nodate",NA,NA,"Campbell, Jessie",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,"73",NA,NA,NA,"Sahtúot’įne {Dictionary} {Délįne} {Kǝdǝ}́",NA,NA,NA,"AET10, ETC, kinbank, nort2942",NA,NA,"AET10",NA,"en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Campbell n.d."
"BOOK","metraux_ethnology_1940","Honolulu, Hawaii",NA,"Métraux, Alfred",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bernice P. Bishop Museum",NA,"Bernice {P}. {Bishop} museum.{Bulletin} 160","Ethnology of {Easter} {Island",NA,NA,"1940","AUS32, Easter Island., Ethnology, Rapanui language, SP, Texts., kinbank, rapa1244","https//catalog.hathitrust.org/Record/001635305","2017-07-17","AUS32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Métraux 1940"
"INCOLLECTION","sakayan_armenian_2015","Leipzig",NA,"Sakayan, Dora; Khatchatrian, Amalia","The {Intercontinental} {Dictionary} {Series",NA,NA,NA,"Key, Mary Ritchie; Comrie, Bernard",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Max Planck Institute for Evolutionary Anthropology",NA,NA,"Armenian ({Eastern} variety)",NA,NA,"2015","ETC, IE513, east2283, kinbank","http://ids.clld.org/contributions/206","2018-08-08","IE513",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sakayan & Khatchatrian 2015"
"INCOLLECTION","saxena_nepali_2015","Leipzig",NA,"Saxena, Anju","The {Intercontinental} {Dictionary} {Series",NA,NA,NA,"Key, Mary Ritchie; Comrie, Bernard",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Max Planck Institute for Evolutionary Anthropology",NA,NA,"Nepali",NA,NA,"2015","IE512, JC, east1436, kinbank","https://ids.clld.org/contributions/706","2019-06-07","IE512",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Saxena 2015"
"INCOLLECTION","glasser_yiddish_2015","Leipzig",NA,"Glasser, Paul; Infante-Wong, Mackayla","The {Intercontinental} {Dictionary} {Series",NA,NA,NA,"Key, Mary Ritchie; Comrie, Bernard",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Max Planck Institute for Evolutionary Anthropology",NA,NA,"Yiddish",NA,NA,"2015","ETC, IE514, east2295, kinbank","http://ids.clld.org/contributions/195","2018-08-08","IE514",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Glasser & Infante-Wong 2015"
"BOOK","congo_mission_englishlonkundo_1913",NA,NA,"Mission, Congo",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"English-{Lonkundo} and {Lonkundo}-{English} {Vocabulary",NA,NA,"1913","AC88, LH, ekon1238, kinbank",NA,NA,"AC88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mission 1913"
"ARTICLE","hulstaert_notes_1938",NA,NA,"Hulstaert, G.",NA,NA,NA,NA,"NA",NA,NA,"Aequatoria",NA,NA,NA,"9",NA,"1--11",NA,NA,NA,"Notes sur le {Mariage} des {Ekonda",NA,"1","1938","AC52, LH, ekon1238, kinbank","http://www.jstor.org/stable/25837346","2017-09-21","AC52",NA,NA,NA,"0304-257X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hulstaert 1938"
"INCOLLECTION","blazek_elamite_2015","Leipzig",NA,"Blažek, Václav; Key, Mary Ritchie","The {Intercontinental} {Dictionary} {Series",NA,NA,NA,"Key, Mary Ritchie; Comrie, Bernard",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Max Planck Institute for Evolutionary Anthropology",NA,NA,"Elamite",NA,NA,"2015","ETC, ISO4, elam1244, kinbank","http://ids.clld.org/contributions/216","2018-08-10","ISO4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Blažek & Key 2015"
"ARTICLE","brady_land_1971",NA,NA,"Brady, Ivan Arthur",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Land tenure, kinship and community structure: strategies for living in the {Ellice} {Islands} of western {Polynesia}.",NA,NA,"1971","AUS23, kinbank, tuva1244",NA,NA,"AUS23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brady 1971"
"ARTICLE","hurault_les_1963",NA,NA,"Hurault, Jean; Frenay, P.",NA,NA,NA,NA,"NA",NA,NA,"Journal de la Société des Américanistes",NA,NA,NA,NA,NA,"133--156",NA,NA,NA,"Les {Indiens} émérillon de la {Guyane} française",NA,"52","1963","H1, kinbank, waya1270",NA,NA,"H1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hurault & Frenay 1963"
"INCOLLECTION","dura_epena_2015","Leipzig",NA,"Dura, Eladio Quiro; Harms, Phillip Lee; Key, Mary Ritchie","The {Intercontinental} {Dictionary} {Series",NA,NA,NA,"Key, Mary Ritchie; Comrie, Bernard",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Max Planck Institute for Evolutionary Anthropology",NA,NA,"Epena",NA,NA,"2015","CHO01, JC, epen1239, kinbank","https://ids.clld.org/contributions/248","2019-06-07","CHO01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dura et al. 2015"
"INCOLLECTION","erina_erzya_2015","Leipzig",NA,"Erina, Olga; Klesment, Piret","The {Intercontinental} {Dictionary} {Series",NA,NA,NA,"Key, Mary Ritchie; Comrie, Bernard",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Max Planck Institute for Evolutionary Anthropology",NA,NA,"Erzya {Mordvin",NA,NA,"2015","ETC, UR3, erzy1239, kinbank","http://ids.clld.org/contributions/126","2018-06-22","UR3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Erina & Klesment 2015"
"INCOLLECTION","kunnap_estonian_2015","Leipzig",NA,"Künnap, Ago; Kuusk, Margit; Audova, Iris","The {Intercontinental} {Dictionary} {Series",NA,NA,NA,"Key, Mary Ritchie; Comrie, Bernard",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Max Planck Institute for Evolutionary Anthropology",NA,NA,"Estonian",NA,NA,"2015","ETC, UR4, esto1258, kinbank","http://ids.clld.org/contributions/127","2018-06-22","UR4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Künnap et al. 2015"
"MISC","pajusalu_esto1258_2020",NA,NA,"Pajusalu, Karl",NA,NA,NA,NA,"NA",NA,NA,NA,NA,"January",NA,NA,NA,NA,NA,NA,NA,"esto1258 terms collected from speaker",NA,NA,"2020","UR20, esto1258, kinbank",NA,NA,"UR20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pajusalu 2020"
"ARTICLE","krauss_eyak_1970",NA,NA,"Krauss, Michael E.",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eyak dictionary",NA,NA,"1970","AET2, eyak1241, kinbank",NA,NA,"AET2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Krauss 1970"
"MISC","noauthor_dictionary_nodate",NA,NA,"NA",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dictionary {\textbar} {Eyak} {People",NA,NA,NA,"AET3, ETC, eyak1241, kinbank","http://www.eyakpeople.com/dictionary","2018-07-09","AET3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA n.d."
