"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment","Column1","X_1"
"myhB","nukaqerak",,"male speaker's younger half brother",,183,"Pospisil_Laughlin_1963","",,
"fyhB","nukaqerak",,"feale speaker's younger half brother",,183,"Pospisil_Laughlin_1963","",,
"myhZ","nukaqerak",,"male speaker's younger half sister",,183,"Pospisil_Laughlin_1963","",,
"fyhZ","nukaqerak",,"female speaker's younger half sister",,183,"Pospisil_Laughlin_1963","",,
"mMHD_notZorhZ","kataq",,"male speaker's mother's husband's daughter that is not a sister or half sister",,183,"Pospisil_Laughlin_1963","",,
"fMHD_notZorhZ","kataq",,"female speaker's mother's husband's daughter that is not a sister or half sister",,183,"Pospisil_Laughlin_1963","",,
"mFWD_notZorhZ","kataq",,"male speaker's father's wife's daughter that is not a sister or half sister",,183,"Pospisil_Laughlin_1963","",,
"fFWD_notZorhZ","kataq",,"female speaker's father's wife's daughter that is not a sister or half sister",,183,"Pospisil_Laughlin_1963","",,
"mFWS_notBorhB","kataq",,"male speaker's father's wife's son that is not a brother or half brother",,183,"Pospisil_Laughlin_1963","",,
"fFWS_notBorhB","kataq",,"female speaker's father's wife's son that is not a brother or half brother",,183,"Pospisil_Laughlin_1963","",,
"mMHS_notBorhB","kataq",,"male speaker's mother's husband's son that is not a brother or half brother",,183,"Pospisil_Laughlin_1963","",,
"fMHS_notBorhB","kataq",,"female speaker's mother's husband's son that is not a brother or half brother",,183,"Pospisil_Laughlin_1963","",,
"mWS_notS","ekneqerak",,"male speaker's wife's son (not ego's son)",,183,"Pospisil_Laughlin_1963","",,
"fHS_notS","ekneqerak",,"female speaker's husband's son (not ego's son)",,183,"Pospisil_Laughlin_1963","",,
"mWD_notD","paniqerak",,"male speaker's wife's daughter (not ego's daughter)",,183,"Pospisil_Laughlin_1963","",,
"fHD_notD","paniqerak",,"female speaker's husband's daughter (not ego's daughter)",,183,"Pospisil_Laughlin_1963","",,
